"siteID","wgt","scntfcn","accessr","dtcllct","collctr","doy","uuid"
"Over-090",19.257881773399,"achnatherum hymenoides","https://swbiodiversity.org/imglib/seinet/swnode/ASC/ASC00127/ASC00127578_lg.jpg",2003-04-26,"g.l. clifton",116,"5878308c-a23e-49a3-ad97-a0504cdcec5e"
"Over-091",15.300782778865,"achnatherum hymenoides","https://api.idigbio.org/v2/media/51b10002341e3f06a431a2711d86a401",2005-05-26,"m. schiebout",146,"87723f9b-3c20-42c1-8229-34a0a7beb8b9"
"Over-092",15.0940154440154,"achnatherum hymenoides","https://botanydb.colorado.edu/COLO_V/01412/01412824.jpg",1987-05-28,"ronald l. hartman",148,"5a04b895-f864-4b56-9822-b7ef19d82ce8"
"Over-093",10.1541558441558,"achnatherum hymenoides","https://cdn.floridamuseum.ufl.edu/Herbarium/d69b4cde-9607-440a-9e73-1f33d18aa065",2008-08-07,"lucas c. majure",220,"02e7c98e-f40f-4453-9acf-f9dfa358d665"
"Over-094",13.3767322497861,"achnatherum hymenoides","https://collections.lib.utah.edu/file?id=2335107",2009-06-16,"melinda greenwood",167,"693979e1-f530-469b-acfb-dba0032e40d0"
"Over-095",9.42579867389994,"achnatherum hymenoides","http://arctos.database.museum/media/10088392?open",1999-08-25,"s): arthur bennett",237,"08913ef9-29bc-4ef7-a8f8-f635ef925a78"
"Over-096",13.789594356261,"achnatherum hymenoides","https://api.idigbio.org/v2/media/3f854d4a4772588031c8145e4e7c0e64",1975-06-11,"pl howard",162,"dd70ebcb-9009-4e0c-8c19-abc7454ed753"
"Over-097",15.300782778865,"achnatherum hymenoides","https://api.idigbio.org/v2/media/dad3d2c67c5854603690f1b82cf82168",1994-05-26,"j. beasley",146,"f662e4cf-3105-44d6-8f75-123d57a5de48"
"Over-098",13.8752440106477,"achnatherum hymenoides","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP054520.jpg",2015-06-10,"j. f. smith",161,"593fa98e-f977-41b3-b2a3-102e64c9a7fd"
"Over-099",9.58761496014715,"achnatherum hymenoides","https://intermountainbiota.org/imglib/h_seinet/seinet/KHD/KHD/KHD00003/KHD00003959_lg.jpg",1986-08-21,"k. cushman",233,"3a6ed784-4ec6-4443-9129-5191368a367f"
"Over-100",8.65858250276855,"achnatherum hymenoides","https://ngpherbaria.org/imglib/seinet/ngph/BHSC_BHSC/BHSC0026/BHSC0026729_1590316935_lg.jpg",1999-09-15,"cox",258,"f65e325e-ec8b-482a-a267-b2e027619382"
